FID,ONScode,ONSname,Region,BodyType,Battery electric (Company),Battery electric (Private),Battery electric (Total),Plug-in hybrid electric (petrol) (Company),Plug-in hybrid electric (petrol) (Total),Total (Company),Total (Private),Total (Total),Shape__Area,Shape__Length
105,E07000079,Cotswold,South West,Motorcycles,1,22,23,0,0,1,22,23,1164524434.81,332430.632142207
106,E07000080,Forest of Dean,South West,Motorcycles,1,4,5,0,0,1,4,5,525902205.293377,190123.946392423
107,E07000081,Gloucester,South West,Motorcycles,1,15,16,0,0,1,15,16,40553067.1238632,33535.1384359469
108,E07000082,Stroud,South West,Motorcycles,0,28,28,0,0,0,28,28,460541932.840958,172776.05769481
109,E07000083,Tewkesbury,South West,Motorcycles,0,28,28,0,0,0,28,28,414414331.620384,204816.828317149
110,E07000084,Basingstoke and Deane,South East,Motorcycles,1,29,30,0,0,1,29,30,633808768.307358,143445.561610085
111,E07000085,East Hampshire,South East,Motorcycles,1,20,21,0,0,1,20,21,514427244.742657,144529.50155922
112,E07000086,Eastleigh,South East,Motorcycles,0,25,25,0,0,0,25,25,79691534.0207672,75969.3701259384
113,E07000087,Fareham,South East,Motorcycles,10,19,29,0,0,10,19,29,74252568.8639069,66391.3182765974
114,E07000088,Gosport,South East,Motorcycles,1,16,17,0,0,1,16,17,25373863.5987015,40198.9526446878
115,E07000089,Hart,South East,Motorcycles,0,13,13,0,0,0,13,13,215265062.888855,77846.4171414185
116,E07000090,Havant,South East,Motorcycles,1,16,17,0,0,1,16,17,55740863.552475,115656.001782131
117,E07000091,New Forest,South East,Motorcycles,4,43,47,0,0,4,43,47,752175282.793148,332040.78546347
118,E07000092,Rushmoor,South East,Motorcycles,1,16,17,0,0,1,16,17,39045031.351738,31890.6799933273
119,E07000093,Test Valley,South East,Motorcycles,0,17,17,0,0,0,17,17,627605428.903973,190861.039845632
120,E07000094,Winchester,South East,Motorcycles,7,40,47,0,0,7,40,47,660970784.217972,172284.74960649
121,E07000095,Broxbourne,East of England,Motorcycles,0,12,12,0,0,0,12,12,51442323.4619751,39066.0781406614
122,E07000096,Dacorum,East of England,Motorcycles,2,23,25,0,0,2,23,25,212476384.667572,110099.851922617
123,E07000098,Hertsmere,East of England,Motorcycles,14,13,27,0,0,14,13,27,101128118.175667,61226.9755336206
124,E07000099,North Hertfordshire,East of England,Motorcycles,2,12,14,0,0,2,12,14,375382263.828629,168304.522402386
125,E07000102,Three Rivers,East of England,Motorcycles,24,23,47,0,0,24,23,47,88824130.6230011,74110.379284116
126,E07000103,Watford,East of England,Motorcycles,2,9,11,0,0,2,9,11,21430353.2294617,26390.2208397151
127,E07000105,Ashford,South East,Motorcycles,1,21,22,0,0,1,21,22,580617311.897118,149444.582577307
128,E07000106,Canterbury,South East,Motorcycles,3,20,23,0,0,3,20,23,308752611.633759,134480.530270857
129,E07000107,Dartford,South East,Motorcycles,2,9,11,0,0,2,9,11,72725607.8161087,57308.8677406833
130,E07000108,Dover,South East,Motorcycles,3,11,14,0,0,3,11,14,315337913.662262,148158.331321105
131,E07000109,Gravesham,South East,Motorcycles,6,7,13,0,0,6,7,13,98991343.5061035,60514.4099095587
132,E07000110,Maidstone,South East,Motorcycles,8,29,37,0,0,8,29,37,393329500.961746,122978.78174292
133,E07000111,Sevenoaks,South East,Motorcycles,3,23,26,0,0,3,23,26,370347002.872887,134424.857442803
134,E07000112,Folkestone and Hythe,South East,Motorcycles,2,27,29,0,0,2,27,29,356921043.861404,148967.53012936
135,E07000113,Swale,South East,Motorcycles,2,21,23,0,0,2,21,23,373436666.723366,347822.333690706
136,E07000114,Thanet,South East,Motorcycles,2,15,17,0,0,2,15,17,103609162.256866,65351.0575122022
137,E07000115,Tonbridge and Malling,South East,Motorcycles,4,29,33,0,0,4,29,33,240114170.735138,133207.598464157
138,E07000116,Tunbridge Wells,South East,Motorcycles,4,20,24,0,0,4,20,24,331328785.658195,150582.555352952
139,E07000117,Burnley,North West,Motorcycles,0,7,7,0,0,0,7,7,110683988.566406,57758.3849479255
140,E07000118,Chorley,North West,Motorcycles,8,15,23,0,0,8,15,23,202762183.401443,114512.346233295
141,E07000119,Fylde,North West,Motorcycles,1,16,17,0,0,1,16,17,165697311.171219,138362.744300761
142,E07000120,Hyndburn,North West,Motorcycles,1,11,12,0,0,1,11,12,73006531.9950256,42725.5895458216
143,E07000121,Lancaster,North West,Motorcycles,5,17,22,0,0,5,17,22,566931388.429276,345316.924214594
144,E07000122,Pendle,North West,Motorcycles,3,7,10,0,0,3,7,10,169380123.60495,79240.7874487146
145,E07000123,Preston,North West,Motorcycles,101,9,110,0,0,101,9,110,142284174.215057,82800.2153872617
146,E07000124,Ribble Valley,North West,Motorcycles,5,16,21,0,0,5,16,21,584462410.81546,150567.848726777
147,E07000125,Rossendale,North West,Motorcycles,0,10,10,0,0,0,10,10,138040945.395981,71146.5805886302
148,E07000126,South Ribble,North West,Motorcycles,1,11,12,0,0,1,11,12,113141836.473007,105349.841184343
149,E07000127,West Lancashire,North West,Motorcycles,3,17,20,0,0,3,17,20,346632972.355667,227318.107045886
150,E07000128,Wyre,North West,Motorcycles,4,22,26,0,0,4,22,26,282164343.394623,212915.423835105
151,E07000129,Blaby,East Midlands,Motorcycles,1,10,11,0,0,1,10,11,130468683.748283,100814.853323911
152,E07000130,Charnwood,East Midlands,Motorcycles,7,17,24,0,0,7,17,24,279042271.32692,115467.998574257
153,E07000131,Harborough,East Midlands,Motorcycles,20,10,30,0,0,20,10,30,592692009.022011,185943.110691819
154,E07000132,Hinckley and Bosworth,East Midlands,Motorcycles,9,17,26,0,0,9,17,26,297351522.794861,111542.038513824
155,E07000133,Melton,East Midlands,Motorcycles,0,11,11,0,0,0,11,11,481380450.704636,140624.572169108
156,E07000134,North West Leicestershire,East Midlands,Motorcycles,1,25,26,0,0,1,25,26,279328099.664093,116450.135016811
157,E07000135,Oadby and Wigston,East Midlands,Motorcycles,0,7,7,0,0,0,7,7,23526168.5615234,31168.1447108195
158,E07000136,Boston,East Midlands,Motorcycles,0,8,8,0,0,0,8,8,364008505.483185,440525.756968777
159,E07000137,East Lindsey,East Midlands,Motorcycles,5,19,24,0,0,5,19,24,1766773262.65205,373174.569529616
160,E07000138,Lincoln,East Midlands,Motorcycles,3,15,18,0,0,3,15,18,35690262.1727448,32968.7309952948
161,E07000139,North Kesteven,East Midlands,Motorcycles,1,19,20,0,0,1,19,20,922471413.921478,181805.062441591
162,E07000140,South Holland,East Midlands,Motorcycles,0,11,11,0,0,0,11,11,750076198.639008,438382.414635444
163,E07000141,South Kesteven,East Midlands,Motorcycles,1,18,19,0,0,1,18,19,942585741.048859,209809.642173754
164,E07000142,West Lindsey,East Midlands,Motorcycles,2,9,11,0,0,2,9,11,1155731948.82578,249626.336213677
165,E07000143,Breckland,East of England,Motorcycles,25,17,42,0,0,25,17,42,1305116636.27957,239522.366983952
166,E07000144,Broadland,East of England,Motorcycles,2,37,39,0,0,2,37,39,552060685.638245,219123.105970655
167,E07000145,Great Yarmouth,East of England,Motorcycles,1,14,15,0,0,1,14,15,174314084.185471,145906.026155804
168,E07000146,King's Lynn and West Norfolk,East of England,Motorcycles,3,21,24,0,0,3,21,24,1439522769.9068,695919.962988732
169,E07000147,North Norfolk,East of England,Motorcycles,3,24,27,0,0,3,24,27,967553234.861084,600210.929292212
170,E07000148,Norwich,East of England,Motorcycles,6,30,36,0,0,6,30,36,39021876.966095,52684.4387944125
171,E07000149,South Norfolk,East of England,Motorcycles,4,20,24,0,0,4,20,24,907576576.146591,266869.497485678
172,E07000163,Craven,Yorkshire and The Humber,Motorcycles,1,11,12,0,0,1,11,12,1178807535.3551,199881.375346452
173,E07000164,Hambleton,Yorkshire and The Humber,Motorcycles,2,11,13,0,0,2,11,13,1311256293.98462,298682.454054928
174,E07000165,Harrogate,Yorkshire and The Humber,Motorcycles,0,18,18,0,0,0,18,18,1309117875.80103,246981.310508245
175,E07000166,Richmondshire,Yorkshire and The Humber,Motorcycles,1,3,4,0,0,1,3,4,1318702662.09824,221692.587160329
176,E07000167,Ryedale,Yorkshire and The Humber,Motorcycles,5,9,14,0,0,5,9,14,1506530701.19722,250881.622441998
177,E07000168,Scarborough,Yorkshire and The Humber,Motorcycles,2,13,15,0,0,2,13,15,816241280.322708,242694.579503398
178,E07000169,Selby,Yorkshire and The Humber,Motorcycles,0,11,11,0,0,0,11,11,599315573.923569,264845.034329299
179,E07000170,Ashfield,East Midlands,Motorcycles,0,11,11,0,0,0,11,11,109557954.123535,69168.0549787649
180,E07000171,Bassetlaw,East Midlands,Motorcycles,2,11,13,0,0,2,11,13,637803606.42421,159728.455054285
181,E07000172,Broxtowe,East Midlands,Motorcycles,3,11,14,0,0,3,11,14,80098843.9173431,65996.6218856484
182,E07000173,Gedling,East Midlands,Motorcycles,1,13,14,0,0,1,13,14,119981502.24617,69750.8310113412
183,E07000174,Mansfield,East Midlands,Motorcycles,1,12,13,0,0,1,12,13,76696927.4926605,51089.9016277906
184,E07000175,Newark and Sherwood,East Midlands,Motorcycles,3,17,20,0,0,3,17,20,651340476.370392,187413.7482207
185,E07000176,Rushcliffe,East Midlands,Motorcycles,0,17,17,0,0,0,17,17,409231546.466995,123321.322043074
186,E07000177,Cherwell,South East,Motorcycles,2,28,30,0,0,2,28,30,588745404.830795,225617.395164138
187,E07000178,Oxford,South East,Motorcycles,44,43,87,0,0,44,43,87,45602825.5069656,34993.844626057
188,E07000179,South Oxfordshire,South East,Motorcycles,0,50,50,0,0,0,50,50,678492168.0867,205550.098477864
189,E07000180,Vale of White Horse,South East,Motorcycles,0,39,39,0,0,0,39,39,578679719.457848,176033.370660927
190,E07000181,West Oxfordshire,South East,Motorcycles,2,25,27,0,0,2,25,27,714422037.287323,160237.256592195
191,E07000187,Mendip,South West,Motorcycles,0,37,37,0,0,0,37,37,739435455.84145,198844.392404697
192,E07000188,Sedgemoor,South West,Motorcycles,2,26,28,0,0,2,26,28,564223822.301853,258005.444665784
193,E07000189,South Somerset,South West,Motorcycles,5,30,35,0,0,5,30,35,959053025.863747,241548.032961482
194,E07000192,Cannock Chase,West Midlands,Motorcycles,2,8,10,0,0,2,8,10,78882578.3519669,50125.8394489737
195,E07000193,East Staffordshire,West Midlands,Motorcycles,2,12,14,0,0,2,12,14,389987122.843025,183691.288895755
196,E07000194,Lichfield,West Midlands,Motorcycles,2,11,13,0,0,2,11,13,331294321.205109,127463.170739768
197,E07000195,Newcastle-under-Lyme,West Midlands,Motorcycles,2,13,15,0,0,2,13,15,210957295.971909,108251.653778863
198,E07000196,South Staffordshire,West Midlands,Motorcycles,1,19,20,0,0,1,19,20,407322353.328491,184884.661607311
199,E07000197,Stafford,West Midlands,Motorcycles,2,30,32,0,0,2,30,32,598172189.401169,159072.547255002
200,E07000198,Staffordshire Moorlands,West Midlands,Motorcycles,2,17,19,0,0,2,17,19,575849809.00811,152441.966463739
201,E07000199,Tamworth,West Midlands,Motorcycles,0,8,8,0,0,0,8,8,30850724.0121002,30729.4523914775
202,E07000200,Babergh,East of England,Motorcycles,1,13,14,0,0,1,13,14,595116582.503052,210443.312612023
203,E07000202,Ipswich,East of England,Motorcycles,3,41,44,0,0,3,41,44,39509771.4361115,45341.496541064
204,E07000203,Mid Suffolk,East of England,Motorcycles,8,24,32,0,0,8,24,32,871070710.020721,191151.730303906
205,E07000207,Elmbridge,South East,Motorcycles,4,47,51,0,0,4,47,51,96334273.0766754,52204.4385998147
206,E07000208,Epsom and Ewell,South East,Motorcycles,0,17,17,0,0,0,17,17,34079154.5370331,28503.8092975754
207,E07000209,Guildford,South East,Motorcycles,34,30,64,0,0,34,30,64,270931144.02079,128412.382018558
208,E07000210,Mole Valley,South East,Motorcycles,0,26,26,0,0,0,26,26,258321090.604195,105397.031980434
209,E07000211,Reigate and Banstead,South East,Motorcycles,6,40,46,0,0,6,40,46,129143817.748154,79917.0905767468
210,E07000212,Runnymede,South East,Motorcycles,9,16,25,0,0,9,16,25,78040680.6398315,45677.007524902
211,E07000213,Spelthorne,South East,Motorcycles,3,20,23,0,0,3,20,23,51161350.4098892,44131.1428612105
212,E07000214,Surrey Heath,South East,Motorcycles,2,15,17,0,0,2,15,17,95092963.0002747,53557.764578556
213,E07000215,Tandridge,South East,Motorcycles,0,15,15,0,0,0,15,15,248194582.980942,83131.8930481927
214,E07000216,Waverley,South East,Motorcycles,1,33,34,0,0,1,33,34,345170238.491543,125428.597835176
215,E07000217,Woking,South East,Motorcycles,8,15,23,0,0,8,15,23,63603608.294426,54780.2122292832
216,E07000218,North Warwickshire,West Midlands,Motorcycles,0,4,4,0,0,0,4,4,284261518.649086,113228.85783183
217,E07000219,Nuneaton and Bedworth,West Midlands,Motorcycles,3,17,20,0,0,3,17,20,78950267.1659927,48147.0588079889
218,E07000220,Rugby,West Midlands,Motorcycles,3,16,19,0,0,3,16,19,353557317.712494,115087.24363392
219,E07000221,Stratford-on-Avon,West Midlands,Motorcycles,6,34,40,0,0,6,34,40,977869032.994003,261369.031234585
220,E07000222,Warwick,West Midlands,Motorcycles,3,22,25,0,0,3,22,25,282882324.589981,116714.078810518
221,E07000223,Adur,South East,Motorcycles,99,22,121,0,0,99,22,121,42065500.7971153,60515.2393173462
222,E07000224,Arun,South East,Motorcycles,1,24,25,0,0,1,24,25,220991208.823517,156496.558931363
223,E07000225,Chichester,South East,Motorcycles,7,38,45,0,0,7,38,45,786194915.21093,297267.271791169
224,E07000226,Crawley,South East,Motorcycles,0,14,14,0,0,0,14,14,44971227.3985825,38798.5820994218
225,E07000227,Horsham,South East,Motorcycles,1,13,14,0,0,1,13,14,530278329.223454,215754.884714148
226,E07000228,Mid Sussex,South East,Motorcycles,0,28,28,0,0,0,28,28,334029216.736504,132901.26791811
227,E07000229,Worthing,South East,Motorcycles,0,16,16,0,0,0,16,16,32521006.014946,29461.7156766559
228,E07000234,Bromsgrove,West Midlands,Motorcycles,2,8,10,0,0,2,8,10,216968441.120949,113128.333688222
229,E07000235,Malvern Hills,West Midlands,Motorcycles,0,19,19,0,0,0,19,19,577070951.886055,230594.571309952
230,E07000236,Redditch,West Midlands,Motorcycles,0,7,7,0,0,0,7,7,54250908.2603149,41300.3373143932
231,E07000237,Worcester,West Midlands,Motorcycles,10,11,21,0,0,10,11,21,33278111.1236725,31261.2304343563
232,E07000238,Wychavon,West Midlands,Motorcycles,1,18,19,0,0,1,18,19,663542007.469109,219510.915753207
233,E07000239,Wyre Forest,West Midlands,Motorcycles,0,11,11,0,0,0,11,11,195403730.262199,100861.152767908
234,E07000240,St Albans,East of England,Motorcycles,2,33,35,0,0,2,33,35,161205788.992043,72941.6954485127
235,E07000241,Welwyn Hatfield,East of England,Motorcycles,22,13,35,0,0,22,13,35,129536962.915245,82383.3616268959
236,E07000242,East Hertfordshire,East of England,Motorcycles,6,24,30,0,0,6,24,30,475669142.173576,135178.027176787
237,E07000243,Stevenage,East of England,Motorcycles,0,14,14,0,0,0,14,14,25969247.2625275,28585.161430964
238,E07000244,East Suffolk,East of England,Motorcycles,2,73,75,0,0,2,73,75,1260989491.10616,584787.924048438
239,E07000245,West Suffolk,East of England,Motorcycles,9,32,41,0,0,9,32,41,1034675737.77446,274539.879009978
240,E07000246,Somerset West and Taunton,South West,Motorcycles,1,36,37,0,0,1,36,37,1189066301.1416,288889.206722841
241,E08000001,Bolton,North West,Motorcycles,2,17,19,0,0,2,17,19,139792040.674789,82643.5197746864
242,E08000002,Bury,North West,Motorcycles,9,18,27,0,0,9,18,27,99460098.088501,68535.7621537225
243,E08000003,Manchester,North West,Motorcycles,19,35,54,0,0,19,35,54,115648443.590103,86841.9510631882
244,E08000004,Oldham,North West,Motorcycles,2,25,27,0,0,2,25,27,142344867.617081,71145.2166053481
245,E08000005,Rochdale,North West,Motorcycles,12,16,28,0,0,12,16,28,158128218.886078,82706.3709034793
246,E08000006,Salford,North West,Motorcycles,1,11,12,0,0,1,11,12,97197259.633194,63262.7594028187
