Project Name,Type Name,Status Detail Name,Status Name,Project Date,Company,Country Name,Location,Other,Plant,Project Link,,Technology Name,Unit Base Name 1,Latitude,Longitude,Major Injection Amount
Riley Ridge Gas Plant,Capture & Storage,Planning,Potential,1/1/2020,"Denbury Onshore, LLC",United States,Big Piney,Initial development plans for CO2 capture from the Riley Ridge Gas plant envisaged a 2015-17 start-up date. Denbury has indicated that the new plan is for a 2020 development time-line,Riley Ridge Gas Plant,http://www.zeroco2.no/projects/riley-ridge-gas-plant-eor,,Amines,,42.4756,-110.489,
Poza Rica EOR Project,Capture & Storage,Planning,Potential,1/1/2009,Comisión Federal de Electricidad (CFE),Mexico,Tuxpan,"Inititial proposal was to run the demonstration project in the Tuxpan Power Plant that would be refitted to use coal as primary source. Due to CFE strategic decisions, it was decided to have the CCS project in the NGCC Power Plant located at Poza Rica",Poza Rica Power Plant,http://eventos.iingen.unam.mx/CCSworkshops/ponenciasMEXICO2012/LACYPresentacionMONITORINGPOZARICA.pdf,,Amines,Tonnes per Day,20.526377,-97.491807,8
Petrom Zero Emissions Plant (ZEP),Capture & Storage,Engineering design,Potential,1/1/2009,Petrom E&P,Romania,Brazi,Performing a feasibility study to design a zero emission plant. The plant will be supplied with CO2 rich gas from one of Petroms fields.  CO2 from plant will be reinjected into an oil field for EOR.,Petrom Zero Emissions Plant,http://petrom.webstyler.ro/pdffiles/Climate-change-52-EN.pdf,,Oxy-fuel Combustion,,45.929741,22.848412,
North Bohemia Clean Coal Project,Capture & Storage,Plant Design,Potential,1/1/2015,CEZ Group,Czech Republic,North Bohemia,CEZ Group is planning to join a planned construction of demonstration low-emission units within the EU.,[new plant],http://www.cez.hu/en/news/764.html,,,% Reduction,50.086012,14.43126,15
Masdar CCS Project,Capture & Storage,Developing Infrastructure,Potential,1/1/2015,Abu Dhabi Future Energy Company,United Arab Emirates,"Emirates Steel, Mussafah;  UAE (United Arab Emirates) Khalifa Port; Industrial Zone (KPIZ) Taweelah","Capture 5 million t/y of CO2 gas from 3 sources: a gas-fired power plant, an aluminum smelter both located at Taweelah and a steel mill located at Mussafah.  Captured CO2 to be sold, piped, and used for EOR.  Phase 1 is capture from steel mill.","Emirates Steel's Mussafah rolling mill, a gas fired power plant, aluminum smelter,EMAL Powerplant",http://www.zeroco2.no/projects/masdar-initiative-ccs-projects,,Amines,Tonnes per Day,24.22123,54.466994,"11,782"
Ledvice CEZ Capture and Storage Project,Capture & Storage,Plant in Operation,Potential,1/1/2013,CEZ Group,Czech Republic,Ledvice,CEZ Group is proposing that the Czech Republic utilize part of its emission credits (Kyoto Protocol) to design CCS technologies for the Ledvice power plant.,Ledvice Power Plant,http://globalenergyobservatory.org/geoid/40321,,,,50.575824,13.77955,
Jamestown BPU,Capture & Storage,Permitting,Potential,1/1/2013,Jamestown BPU,United States,Jamestown,"Proposal is to add-on to long-planned Circulating Fluidized Bed (CFB) combustion unit added to existing plant, replacing two older coal-fired boilers.",Samuel J. Carlson Generating Station,No specific project link identified.,,,% Reduction,42.09919739,-79.23827362,98
ICO2N Network,Capture & Storage,Developing Infrastructure,Potential,1/1/2007,ICO2N,Canada,Alberta,The proposed Integrated CO2 Network targets large sources of industrial CO2 emissions in Alberta including coal-fired electrical generation and energy production. The CO2 will be captured and transported to geological sites for sequestration or EOR.,Commercial Source,http://www.zeroco2.no/projects/developers/ico2n,,,,51.113532,-114.112924,
Galilee Power Project,Capture & Storage,Developing Infrastructure,Potential,9/1/2009,Waratah Coal,Australia,Galilee Basin,Project will construct a 900 MW coal fired power plant that incorporates carbon capture and storage.,Galilee Power Station,https://www.statedevelopment.qld.gov.au/assessments-and-approvals/galilee-basin-power-station.html,,,,-23.473166,146.551237,
Dongguan Taiyangzhou IGCC,Capture & Storage,Planning,Potential,1/1/2016,Dongguan Taiyangzhou Power Corporation,China,Dongguan,"Proposed Construction of a 750 MW IGCC powerplant with pre-combustion CO2 capture, 150 KM transport to EOR field in Shangdong Province.",Dongguan Taiyangzhou Plant,https://sequestration.mit.edu/tools/projects/dongguan.html,,Cryogenic,Tonnes per Day,23.002269,113.750935,"2,740"
Don Valley CCS Power Project,Capture & Storage,Planning,Potential,2/1/2009,Sargas,United Kingdom,Yorkshire,The project has completed a FEED study and received planning approval. Bought by SARGAS in July 2014.  SARGAS plans to switch to natural gas fuel.,Don Valley Power Plant,https://sequestration.mit.edu/tools/projects/don_valley.html,,Cold Methanol (Rectisol),Tonnes per Day,53.591456,-1.020039,"13,700"
Dagang Huashi Power CCS + EOR,Capture & Storage,Planning,Potential,1/1/2012,Tianjin DaGang Huashi,China,Tianjin,Dagang will use one of its two 330MW power units to demonstrate the capture of CO2 and then transport the CO2 for sequestration and EOR.,DaGang Huashi Power Plant,http://www.spacedaily.com/reports/EESTech_And_Dagang_Power_Sign_MOU_For_Carbon_Capture_Project_999.html,,,Tonnes per Day,39.051371,117.412391,"6,165"
ConocoPhillips - Immingham pre-combustion Project,Capture & Storage,Developing Infrastructure,Potential,7/1/2009,ConocoPhillips,United Kingdom,South Killingholme,"A feasability study is looking at coal to hydrogen expansion at the Immingham CHP.  CO2 will be captured, transported, and stored below the North Sea.",Immingham Combined Heat and Power Plant,No specific project link identified.,,,Tonnes per Day,53.633126,-0.24317,"20,550"
China Resources Power (Haifeng) Integrated Carbon Capture and Sequestration Demonstration Project,Capture & Storage,Planning,Potential,1/1/2019,China Resources Power (CRP),China,Shanwei,Injects in a CO2 storage site in a deep saline formation in the South China Sea for permanent storage or for EOR.,China Resources Power (CRP) & China National Offshore Oil Corporation (CNOOC),https://www.globalccsinstitute.com/projects/china-resources-power-haifeng-integrated-carbon-capture-and-sequestration-demonstration-project,,Amines,Tonnes per Day,22.7724,115.352,"2,740"
Carbonsafe Rocky Mountain Phase I: Ensuring Safe Subsurface Storage of Carbon Dioxide in the Intermountain West,Capture & Storage,Planning,Potential,3/1/2017,University of Utah,United States,Castle Dale,Identify the conditions and attributes that will facilitate feasible and practical commercial-scale carbon capture and storage.,,https://www.netl.doe.gov/research/coal/project-information/proj?k=FE0029280,,,,39.107347,-110.867393,
CAB-CS: Central Appalachian Basin CarbonSAFE Integrated Pre-Feasibility Project,Capture & Storage,Planning,Potential,2/1/2017,Battelle Memorial Institute,United States,central Appalachian Basin,This project will will perform pre-feasibility studies for an integrated commercial-scale carbon capture and storage (CCS) site that will utilize deep geologic strata in the Central Appalachian Basin.,,https://www.netl.doe.gov/research/coal/project-information/proj?k=FE0029466,,,,40.271999,-81.859679,
Shenhua Ningxia CTL Project,Capture,Planning,Potential,1/1/2020,Shenhua Group Corporation,China,Yinchuan,Coal gasification (using Seimen's IGCC to syngas process) to produce hydrocabon liquids/gases and to capture 2 million tonnes per annum (Mtpa) CO2 using physical solvent-based absorption process. CO2 capture date to start 2020.,Shenhua Ningxia Coal to Liquids,https://www.netl.doe.gov/publications/proceedings/08/CO2E/PDF/session%201/2008.5.Hangzhou%20CO2%20forum-EN.pdf,,Solvents,,38.5318,106.249,
Shanxi International Energy Oxyfuel Project,Capture,Planning,Potential,1/1/2020,"Shanxi International Energy Group Company, Ltd (SIEG)",China,Taiyuan,Air Products perfromed the feasibility and cost study in 2014. No further info regarding the project.,SIEG Power Plant in Taiyuan,http://www.globalccsinstitute.com/project/shanxi-international-energy-group-ccus-project,,Oxy-fuel Combustion,Tonnes per Day,37.778832,112.474995,"6,850"
Hodonin CO2 Separation Project,Capture,Planning,Potential,1/15/2015,CEZ Group,Czech Republic,Hodonin,"CEZ is considering two localities for modern low-emission lignite-biomass technologies, Hodonin and North Bohemia.",Hodonin Power Plant,http://www.cez.hu/en/news/764.html,,,,48.848936,17.132222,
HARP-Heartland Area Redwater Project,Storage,Site Characterization,Hold,1/1/2008,ARC Resources,Canada,between Fort McMurray and Edmonton,"The Heartland Area Redwater Project, located in the Heartland Region of Alberta (Canada), aims to demonstrate the feasibility of CO2 storage in onshore carbonate rocks in North America (the Redwater Leduc Reef). Effort on hold pending CO2 legislation.",Multiple source possibilities,http://www.zeroco2.no/projects/heartland-area-redwater-storage-project-harp,,,Tonnes Total,53.945484,-113.067108,"100,000"
Altmark Sequestration,Storage,Developing Infrastructure,Hold,1/1/2015,Vattenfall,Germany,Salzwedel,"The project is an EGR project to be performed in Europe's second-largest natural gas field - the Altmark gas field. The program plans to control old wells, along with advancement of monitoring techniques, process modelling, and risk assessment.",Vattenfall's CO2 Test Facility,https://publications.lbl.gov/islandora/object/ir%3A127000,,,Tonnes Total,52.83368,11.154315,"100,000"
ULCOS Florange,Capture & Storage,Developing Infrastructure,Hold,1/1/2004,ArcelorMittal,France,Florange,"Project was to store over 700,000 tonnes/year and is considered cancelled. The overall effort was to reduce current CO2 emissions from steel making by 50%.",Steel Plant,https://sequestration.mit.edu/tools/projects/ulcos.html,,Solid sorbent,Tonnes per Day,49.323907,6.091537,"1,370"
Sinopec Qilu Petrochemical CCS Project,Capture & Storage,Engineering design,Hold,12/1/2017,Qilu Petrochemical Company (subsidiary of Sinopec),China,Zibo,"Three GE gasifiers supply syngas to fertilzer mfg. The next project would capture and compress CO2 for EOR use, after transportation of 47 miles.",Sinopec Qilu Petrochemical CCS Project,http://www.globalccsinstitute.com/projects/sinopec-qilu-petrochemical-ccs-project,,Cold Methanol (Rectisol),Tonnes per Day,37.4142,118.607,"1,370"
Sargas Husnes Norwegian Clean Coal Plant Project,Capture & Storage,Planning,Hold,1/1/2011,Sargas,Norway,Husnes, The plant has been on hold since 2008. Was to capture about 2.6 million tonnes of CO2/yr for EOR in North Sea oil fields.,400-MW coal-fired Power Plant,https://sequestration.mit.edu/tools/projects/sargas_husnes.html,,,Tonnes per Day,59.85858,5.740327,"7,124"
RWE IGCC Plant with CO2 Storage,Capture & Storage,Permitting,Hold,1/1/2014,RWE Power,Germany,Hürth (Huerth),"The project will be a large scale coal fired power plant that combines coal gasification (IGCC), CO2 separation, and CO2 storage in a saline aquifer. CO2 will be delivered to the storage site through a 540 km pipeline.",RWE Power IGCC Plant,http://www.rwe.com/web/cms/en/2688/rwe/innovations/power-generation/clean-coal/igcc-ccs-power-plant/,,,Tonnes per Day,50.863656,6.838015,"7,124"
Porto Tolle,Capture & Storage,Permitting,Hold,12/31/2012,Enel,Italy,Rovigo,"Due to permitting and legislation issues, the final investment decision has been delayed until 2016.",Coal/Biomass Power Plant,https://sequestration.mit.edu/tools/projects/enel_porto_tolle.html,,Solvents,Tonnes per Day,44.955975,12.488261,"2,740"
PCOR Development Phase - Ft. Nelson Project,Capture & Storage,Planning,Hold,1/1/2007,Energy & Environmental Research Center - University of North Dakota,Canada,Ft. Nelson,The Fort Nelson project will utilize more than one million tons of CO2 per year captured from one of the largest gas processing plants in North America.  The CO2 will be compressed and transported in pipeline to the injeciton site.,Ft. Nelson Plant,https://www.undeerc.org/pcor/co2sequestrationprojects/FortNelson.aspx,,Amines,Tonnes per Day,58.653455,-122.689083,"5,480"
Nuon Magnum IGCC Plant with Capture Option,Capture & Storage,Developing Infrastructure,Hold,1/1/2012,Nuon,Netherlands,Esemshaven," In 2011 Nuon said it was postponing coal gasification technology, to at least 2020.",Nuon Magnum,http://cleancoal.polsl.pl/pdf/Berkhout.pdf,,Solvents,,53.447939,6.853228,
Moomba Cooper Basin Carbon Storage Project,Capture & Storage,Site Characterization,Hold,1/1/2010,Santos,Australia,Cooper Basin,Moomba Carbon Storage (MCS) project is planning to store CO2 (20 million tonnes per year for over fifty years) in the Cooper Basin in central Australia that includes EOR.,Santos Moomba Facility,https://www.santos.com/media-centre/announcements/moomba-carbon-storage-demonstration-project/,,,Tonnes per Day,-28.113216,140.206906,"54,800"
Mesaba Energy Project,Capture & Storage,Permitting,Hold,1/1/2012,Excelsior Energy Inc.,United States,Taconite,The plant will use ConocoPhillips E-Gas technology for gasification of coal.  Primary and backup sites have been selected.,Mesaba Coal IGCC,http://www.startribune.com/excelsior-energy-buys-land-for-power-plant-near-taconite-minn/184157431/,,ConocoPhillips E-Gas Gasification,Tonnes per Day,47.30176,-93.371553,"12,330"
Lima Polygen,Capture & Storage,Permitting,Hold,1/1/2013,Global Energy,United States,Lima,"Primary production of the Lima Energy IGCC project will be 540 megawatts (MW) of electrical power, 26 BCF/year of synthetic natural gas and 6 million SCF/day of hydrogen. The CO2 will be used for sequestration or EOR.",Lima IGCC,http://www.limaohio.com/news/149379/lima-energy-applied-for-certificate-with-plans-to-transfer-it,,,Tonnes per Day,40.717629,-84.111123,"7,672"
Karsto NGCC Capture Project,Capture & Storage,Plant Design,Hold,1/1/2009,Norwegian Government,Norway,Karsto,The Karsto NGCC Power plant will have a CO2 capture pilot plant connected to the facility to demonstrate CO2 capture and seabed or EOR storage. Delayed in 2009 with no update on when it will start.,Karsto NGCC Pilot Plant,http://sequestration.mit.edu/tools/projects/naturkraft_karsto.html,,Aker Kvaerner's Just Catch technology,Tonnes per Day,59.280426,5.523822,274
Japan-China EOR Project,Capture & Storage,Planning,Hold,1/1/2009,Chinese Government,China,Hearbin,CO2 captured from a PC plant in Harbin to be transported 100 km west to heavy-oil field in Daqing. The field produces more than 40 million tonnes (> 316 million barrels/yr); the CO2-enabled EOR is expected to boost output by 1.5 to 2 million tonnes/yr.,Harbin Thermal Power Plant,https://ge.lokaler.de/Carbon-Cioxide-Removal/harbin-thermal-power-plant-japan-china-eor-project/,,,Tonnes per Day,45.96659088,126.6637726,"2,740"
In Salah Gas Storage Project,Capture & Storage,Injection Ongoing,Hold,8/1/2004,"In Salah Gas JV (Sonotrack, BP, Statoil)",Algeria,In Salah Gas Fields,"The In Salah Gas Project is a Joint Venture targeted to produce natural gas located in the Ahnet - Timmimoun Basin, in Central Algeria. Natural gas will be processed and the CO2 is compressed and injected into wells 1,800 meters deep.",In Salah Gas Processing Plant,https://sequestration.mit.edu/tools/projects/in_salah.html,,Ethanol-amino solvent,Tonnes per Day,27.185919,2.497676,"3,288"
Hydrogen Power Abu Dhabi Project,Capture & Storage,Plant Design,Hold,1/1/2015,Hydrogen Power Abu Dhabi (Masdar/BP joint venture),United Arab Emirates,,"Commercial-scale 400 MWe hydrogen-fired power plant with CCS technology will be built in Abu Dhabi, UAE. Natural gas feedstock.  The capture capacity will in the order of 1.7 million tonnes of CO2/yr for EOR. Curently in FEED.",Hydrogen-fired power generation plant,https://sequestration.mit.edu/tools/projects/hydrogen_power_abu_dhabi.html,,Not currently specified,Tonnes per Day,24.47527313,54.36998749,"4,658"
Getica CCS Demonstration Project,Capture & Storage,Planning,Hold,,Getica CCS Project Company,Romania,Turceni,,Turceni Power Station (now part of Oltenia Energy complex),http://www.minind.ro/anunturi/Getica_CCS_en_March2011_31032011.pdf,,,,44.669722,23.407778,
FuturGas Project,Capture & Storage,Plant Design,Hold,1/1/2016,Strike Oil Limited,Australia,Kingston,FutureGas is a CTL plant that will produce synthetic liquid fuels and power generation with CCS. The captured CO2 will be stored in the Otway basin.,FuturGas Facility,http://www.capstonemedia.com.au/hybrid_en/futurgas.htm,,,Tonnes per Day,-36.66844559,139.9955444,"2,055"
Duke Energy - Edwardsport Plant,Capture & Storage,Plant in Operation,Hold,1/10/2012,Duke Energy,United States,Edwardsport,"The project was to build a 618-megawatt IGCC, plant with CCS, in Knox County, Indiana. The CCS capability was  not installed, and the plant was completed.",Edwardsport IGCC,https://www.eenews.net/stories/1060057629,,,% Reduction,38.80667877,-87.24694824,70
Duke Energy - Cliffside Plant,Capture & Storage,Plant in Operation,Hold,1/1/2012,Duke Energy,United States,Rutherford County,"The project built one 800 MW supercritical unit, originally to have carbon mitigation.",Cliffside Power Plant,http://www.powermag.com/cliffside-steam-station-unit-6-cliffside-north-carolina/?pagenum=1,,,% Reduction,35.219122,-81.761418,90
Datang Daqing CCS Project,Capture & Storage,Planning,Hold,1/1/2020,Datang Corporation,China,Daqing,Alstom signed an agreement in November 2011 stating that it will carry out the study for the 350 MW oxy-combustion CCS demonstration project located in Daqing.,New build plant with oxy-firing technology,http://www.alstom.com/press-centre/2011/9/Alstom-Datang-agree-to-jointly-develop-carbon-capture-demonstration-projects-in-China/,,,Tonnes per Day,46.576277,125.228479,"2,740"
Coastal Energy IGCC Project (Teesside),Capture & Storage,Plant Design,Hold,1/1/2009,Progressive Energy,United Kingdom,Middlesbrough,Build facility to convert coal into syngas and CO2 using chemical processes. Around 2.3mte CO2/yr would be separated/piped to EOR and saline storage in the North Sea. Syngas to go to adjacent power plant to be built. Currently being re-evaled. Not funded.,Coastal Energy IGCC Plant,http://sequestration.mit.edu/tools/projects/teeside.html,,,Tonnes per Day,54.575354,-1.127528,"6,302"
Cash Creek IGCC,Capture & Storage,Developing Infrastructure,Hold,1/1/2012,ERORA Group,United States,Henderson County,The proposed project was to build a 770 megawatt (MW) Integrated Gasification Combined Cycle (IGCC) coal plant  to gasify 2.8 million tons of coal per year to produce electricity and deliver CO2 to an interstate pipeline.,Cash Creek Generation,https://www.reuters.com/article/utilities-coal-kentucky/kentucky-advanced-coal-project-obtains-air-permit-idUSN3033537620071130,,,,37.843695,-87.590435,
Captain Clean Energy Project,Capture & Storage,Planning,Hold,1/1/2017,Summit Power Group,Scotland,Grangemouth,The proposed IGCC plant (with carbon capture technology) would use Siemens gasifiers to convert the coal feedstock into a hydrogen-rich synthetic gas (syngas) and CO2.,Summit Power Caledonia IGCC Plant,http://www.zeroco2.no/projects/caledonia-clean-energy-project,,,Tonnes per Day,56.014195,-3.692054,"10,412"
Bow City Power Project,Capture & Storage,Planning,Hold,1/1/2011,"Bow City Power, Ltd.",Canada,Bow City,Supercritical PC plant in which removed CO2 will be used for EOR in near-by oil fields.,Bow City Power Plant,https://open.alberta.ca/publications/environmental-assessment-bow-city-power-ltd-bow-city-power-project,,Amines,Tonnes per Day,50.426664,-112.218873,"2,740"
Bintulu CCS Project,Capture & Storage,Planning,Hold,1/1/2011,Mitsubishi Heavy Industries,Malaysia,Bintulu,"The proposed methodology is not yet approved by UNFCCC as eligible CDM. The proposed project involves capture of CO2 from LNG plant in Bintulu, Malaysia.  CO2 will be transported 120 km by pipeline and injected into a sub-sea saline formation.",LNG Bintulu Plant,https://www.geos.ed.ac.uk/~carbcap/cgi-bin/query.pl?ID=1642&number224656819313,,,Tonnes per Day,3.25,113.12,"8,220"
Bent County IGCC Plant,Capture & Storage,Planning,Hold,1/1/2016,Xcel Energy Inc.,United States,Bent County,"Xcel suspended consideration in November 2007, too expensive for perceived demand.  Promised to reconsider this concept in a few years.",Xcel Energy IGCC plant,https://www.bizjournals.com/denver/stories/2007/10/29/daily26.html,,,Tonnes Total,37.8567,-103.1112,"4,200,000"
Belle Plaine Polygen Capture (for EOR),Capture & Storage,Plant Design,Hold,1/1/2013,TransCanada,Canada,Belle Plaine,"The plant will use petroleum coke and gasification technology to produce electricity, as well as hydrogen, nitrogen, steam and carbon dioxide for industrial use. The CO2 may be used for EOR at the Weyburn Test stie.  Up to 90% capture expected.",Belle Plaine Polygeneration Facility,http://www.zeroco2.no/projects/belle-plaine-integrated-polygeneration-ccs-project,,,Tonnes per Day,50.395646,-105.153207,"2,740"
Aalborg - Northern Jutland Power Station Project,Capture & Storage,Plant in Operation,Hold,12/31/2013,Vattenfall,Denmark,Aalborg,Vattenfall is planning to have a full-scale CCS demonstration project in operation in Aalborg in Northern Denmark by 2013. A series of geological surveys has been undertaken to identify suitable storage in the plant's vicinity. The project is on hold.,Northern Jutland Power Station,http://www.zeroco2.no/projects/nordjylland-power-station,,Amines,Tonnes per Day,57.073957,10.040272,"4,932"
Sargas Natural Gas CCS,Capture,Planning,Hold,6/17/2016,Sargas,Norway, Fraena,"The project's patented designs capture 90% of the CO2 and virtually eliminates NOx, SOx and Hg emissions, whether applied to greenfield or retro-fitted plants. Sargas and Shell have announced plans to construct a plant with CO2 capture.",Sargas Natural Gas CCS,https://www.timesofmalta.com/articles/view/20120619/local/ge-sargas-announce-collaboration.425067,,Sargas Natural Gas CCS,,62.980253,6.964092,
RWE CCS Eemshaven,Capture,Plant Design,Hold,1/1/2016,RWE,Netherlands,Eemshaven,"RWE is planning a 1600 MW coal- and biomass-fired power plant in Eemshaven together with a 200,000 ton per year (equivalent to 35 MW) post-combustion CO2 capture R&D unit.",Eemshaven Power Plant,http://www.zeroco2.no/projects/eemshaven,,Amines,Tonnes per Day,53.442813,6.850781,"3,288"
DKRW Energy LLC,Capture,Permitting,Hold,1/1/2014,DKRW Energy LLC,United States,Carbon County,"Plan was to produce 20,000 - 22,000 barrels per day from coal.",Medicine Bow CTL,http://www.zeroco2.no/projects/medicine-bow-ctl,,Chilled Ammonia,,41.896108,-106.20491,
Bulgarian TETs Maritsa East 2,Capture,Plant Design,Hold,12/31/2010,TETs Maritsa Iztok 2 EAD,Bulgaria,Kovachevo,The effort was to add a post-conbustion capture (120 MW) to the coal generating plant and capture and pipe the CO2 to inject for offshore saline storage.,Bulgarian Thermal Power Plant Maritza East 2,http://www.zeroco2.no/projects/maritsa-tpp,,,Tonnes Total,42.255494,26.131763,"3,600,000"
American Electric Power - Northeastern Station,Capture,Plant in Operation,Hold,1/1/2011,American Electric Power,United States,Oologah,Full-scale (1.5 million metric tons) test of Alstom's ammonia-based carbon capture technology. 90% of the CO2 produced will be captured. Has contract to sell CO2 to SemGreen LLP for EOR.,Northeastern Station,https://www.prnewswire.com/news-releases/aep-to-install-carbon-capture-on-two-existing-power-plants-company-will-be-first-to-move-technology-to-commercial-scale-52165432.html,,Alstom Chilled Ammonia Process,Tonnes per Day,36.430797,-95.700805,"4,110"
